minute,original_velocity,filtered_velocity,prediction
1970-01-01 00:01:00,2.267998067935702e-17,2.267998067935702e-17,0
1970-01-01 00:02:00,2.4841415821163972e-17,2.4841415821163972e-17,0
1970-01-01 00:03:00,1.7659067600742334e-17,1.7659067600742334e-17,0
1970-01-01 00:04:00,7.295928858897077e-17,7.295928858897077e-17,0
1970-01-01 00:05:00,-6.73496473462958e-16,-6.73496473462958e-16,0
1970-01-01 00:06:00,7.221467825013154e-16,7.221467825013154e-16,1
1970-01-01 00:07:00,8.800128592321695e-17,8.800128592321695e-17,1
1970-01-01 00:08:00,-5.006954517522299e-15,-5.006954517522299e-15,1
1970-01-01 00:09:00,1.0397400020767759e-14,1.0397400020767759e-14,0
1970-01-01 00:10:00,-3.095083875930737e-15,-3.095083875930737e-15,0
1970-01-01 00:11:00,3.1136834524580396e-15,3.1136834524580396e-15,0
1970-01-01 00:12:00,3.7703751100743245e-15,3.7703751100743245e-15,0
1970-01-01 00:13:00,-2.679915808414248e-15,-2.679915808414248e-15,0
1970-01-01 00:14:00,1.3803836623329858e-14,1.3803836623329858e-14,0
1970-01-01 00:15:00,-3.509969638636104e-14,-3.509969638636104e-14,0
1970-01-01 00:16:00,2.3200115475871414e-14,2.3200115475871414e-14,0
1970-01-01 00:17:00,5.268129557922335e-15,5.268129557922335e-15,0
1970-01-01 00:18:00,-2.6224103098814563e-14,-2.6224103098814563e-14,0
1970-01-01 00:19:00,-2.322719065820098e-14,-2.322719065820098e-14,0
1970-01-01 00:20:00,8.527078136014257e-14,8.527078136014257e-14,0
1970-01-01 00:21:00,-4.072053877623056e-14,-4.072053877623056e-14,0
1970-01-01 00:22:00,-1.470174461215349e-14,-1.470174461215349e-14,0
1970-01-01 00:23:00,-2.8934340154848054e-14,-2.8934340154848054e-14,0
1970-01-01 00:24:00,3.701748633507972e-14,3.701748633507972e-14,0
1970-01-01 00:25:00,-6.018356436908678e-15,-6.018356436908678e-15,0
1970-01-01 00:26:00,-1.2857795940370431e-14,-1.2857795940370431e-14,0
1970-01-01 00:27:00,1.6624523585356492e-13,1.6624523585356492e-13,0
1970-01-01 00:28:00,-1.0089128088831886e-13,-1.0089128088831886e-13,0
1970-01-01 00:29:00,-1.1410697517002184e-14,-1.1410697517002184e-14,0
1970-01-01 00:30:00,-1.2537404367750347e-14,-1.2537404367750347e-14,0
1970-01-01 00:31:00,-2.706967762252235e-14,-2.706967762252235e-14,0
1970-01-01 00:32:00,-2.7360344807666015e-14,-2.7360344807666015e-14,0
1970-01-01 00:33:00,1.4286583252375365e-13,1.4286583252375365e-13,0
1970-01-01 00:34:00,-5.909461220415523e-14,-5.909461220415523e-14,0
1970-01-01 00:35:00,2.1856289321855265e-13,2.1856289321855265e-13,0
1970-01-01 00:36:00,-3.877870517172e-13,-3.877870517172e-13,0
1970-01-01 00:37:00,3.517070484910982e-13,3.517070484910982e-13,0
1970-01-01 00:38:00,-3.782729299155321e-14,-3.782729299155321e-14,0
1970-01-01 00:39:00,-5.012898072309211e-13,-5.012898072309211e-13,1
1970-01-01 00:40:00,7.710261668842938e-13,7.710261668842938e-13,1
1970-01-01 00:41:00,-9.197204805260373e-14,-9.197204805260373e-14,1
1970-01-01 00:42:00,-5.576873409034211e-13,-5.576873409034211e-13,1
1970-01-01 00:43:00,6.23623040806939e-13,6.23623040806939e-13,1
1970-01-01 00:44:00,-7.119053862283422e-13,-7.119053862283422e-13,1
1970-01-01 00:45:00,7.572433692168257e-13,7.572433692168257e-13,1
1970-01-01 00:46:00,-3.4129229473649615e-13,-3.4129229473649615e-13,0
1970-01-01 00:47:00,1.774289716914611e-14,1.774289716914611e-14,0
1970-01-01 00:48:00,-4.2462986752507774e-13,-4.2462986752507774e-13,0
1970-01-01 00:49:00,1.1362026562063435e-12,1.1362026562063435e-12,0
1970-01-01 00:50:00,-1.1123871352697036e-12,-1.1123871352697036e-12,0
1970-01-01 00:51:00,2.968380034177482e-13,2.968380034177482e-13,1
1970-01-01 00:52:00,-2.5464867532783547e-13,-2.5464867532783547e-13,0
1970-01-01 00:53:00,1.0164970917513878e-12,1.0164970917513878e-12,1
1970-01-01 00:54:00,-3.19218088088301e-13,-3.19218088088301e-13,0
1970-01-01 00:55:00,-9.561353797980686e-13,-9.561353797980686e-13,1
1970-01-01 00:56:00,-4.331640546662496e-13,-4.331640546662496e-13,0
1970-01-01 00:57:00,6.343690055137767e-13,6.343690055137767e-13,1
1970-01-01 00:58:00,-8.136785099746888e-13,-8.136785099746888e-13,0
1970-01-01 00:59:00,4.816404530010976e-13,4.816404530010976e-13,0
1970-01-01 01:00:00,4.567351988950215e-13,4.567351988950215e-13,1
1970-01-01 01:01:00,8.133720998778637e-13,8.133720998778637e-13,1
1970-01-01 01:02:00,-2.0716626183901253e-12,-2.0716626183901253e-12,0
